python : import time: self [us] | cumulative | imported package
At line:1 char:1
+ python -X importtime .\SRB1.2-razvoj.py ui 2>&1 | Out-File .\importti ...
+ ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
    + CategoryInfo          : NotSpecified: (import time: se...mported package:String) [], RemoteException
    + FullyQualifiedErrorId : NativeCommandError
 
import time:       250 |        250 |       numpy.lib._version
import time:       206 |        206 |       numpy.lib.introspect
import time:       268 |        268 |       numpy.lib.mixins
import time:       194 |        194 |       numpy.lib.npyio
import time:       322 |        322 |         numpy.lib._scimath_impl
import time:       202 |        523 |       numpy.lib.scimath
import time:       460 |      24326 |     numpy.lib
import time:       252 |        252 |     numpy._array_api_info
import time:      1395 |      51495 |   numpy
import time:       362 |        362 |     pytz.exceptions
import time:       297 |        297 |     pytz.lazy
import time:       294 |        294 |     pytz.tzinfo
import time:       232 |        232 |     pytz.tzfile
import time:       644 |       1827 |   pytz
import time:       296 |        296 |     dateutil._version
import time:       352 |        647 |   dateutil
import time:      1137 |       1137 |       sysconfig
import time:        30 |         30 |       _sysconfig
import time:      1383 |       2549 |     pandas.compat._constants
import time:       255 |        255 |     pandas.compat.compressors
import time:       235 |        235 |         pandas.util
import time:      1516 |       1750 |       pandas.util.version
import time:       388 |       2137 |     pandas.compat.numpy
import time:       196 |        196 |       pyarrow
import time:       237 |        432 |     pandas.compat.pyarrow
import time:       404 |       5775 |   pandas.compat
import time:       427 |        427 |               numpy.random._common
import time:        56 |         56 |                   binascii
import time:       459 |        515 |                 base64
import time:       421 |        421 |                 hmac
import time:       367 |       1302 |               secrets
import time:       495 |       2224 |             numpy.random.bit_generator
import time:       451 |       2675 |           numpy.random._bounded_integers
import time:       312 |        312 |               numpy.random._pcg64
import time:       321 |        321 |               numpy.random._mt19937
import time:       726 |       1359 |             numpy.random._generator
import time:       291 |        291 |             numpy.random._philox
import time:       279 |        279 |             numpy.random._sfc64
import time:       928 |        928 |             numpy.random.mtrand
import time:       262 |       3118 |           numpy.random._pickle
import time:       311 |       6103 |         numpy.random
import time:      2196 |       8299 |       pandas._typing
import time:        35 |         35 |               _opcode
import time:       412 |        412 |               _opcode_metadata
import time:       487 |        933 |             opcode
import time:       866 |       1798 |           dis
import time:       423 |        423 |             importlib
import time:        56 |        478 |           importlib.machinery
import time:       390 |        390 |           linecache
import time:       390 |        390 |             token
import time:        35 |         35 |             _tokenize
import time:       883 |       1307 |           tokenize
import time:      1878 |       5849 |         inspect
import time:       258 |       6106 |       pandas.util._exceptions
import time:       778 |      15182 |     pandas._config.config
import time:       300 |        300 |     pandas._config.dates
import time:        48 |         48 |         _locale
import time:       928 |        976 |       locale
import time:       249 |       1224 |     pandas._config.display
import time:       292 |      16998 |   pandas._config
import time:       252 |        252 |     pandas.core
import time:       841 |       1092 |   pandas.core.config_init
import time:       440 |        440 |       pandas._libs.pandas_parser
import time:       259 |        259 |       pandas._libs.pandas_datetime
import time:       311 |        311 |                   pandas._libs.tslibs.ccalendar
import time:       412 |        412 |                   pandas._libs.tslibs.np_datetime
import time:      1051 |       1774 |                 pandas._libs.tslibs.dtypes
import time:       272 |        272 |                   pandas._libs.tslibs.base
import time:       467 |        467 |                       pandas._libs.tslibs.nattype
import time:       267 |        267 |                           pandas.compat._optional
import time:       567 |        567 |                             zoneinfo._tzpath
import time:       403 |        403 |                             zoneinfo._common
import time:       527 |        527 |                             _zoneinfo
import time:       462 |       1958 |                           zoneinfo
import time:       433 |        433 |                                   importlib._abc
import time:       125 |        558 |                                 importlib.util
import time:       805 |       1362 |                               six
import time:        31 |         31 |                               six.moves
import time:       296 |        296 |                               dateutil.tz._common
import time:       259 |        259 |                               dateutil.tz._factories
import time:       629 |        629 |                                 ctypes.wintypes
import time:       394 |       1022 |                               dateutil.tz.win
import time:       751 |       3719 |                             dateutil.tz.tz
import time:       279 |       3998 |                           dateutil.tz
import time:      1066 |       7288 |                         pandas._libs.tslibs.timezones
import time:      1244 |       1244 |                             calendar
import time:      1180 |       2423 |                           _strptime
import time:       548 |        548 |                               signal
import time:       177 |        177 |                               fcntl
import time:        39 |         39 |                               msvcrt
import time:       714 |       1476 |                             subprocess
import time:       259 |       1735 |                           pandas._config.localization
import time:       476 |       4633 |                         pandas._libs.tslibs.fields
import time:       768 |      12687 |                       pandas._libs.tslibs.timedeltas
import time:       449 |        449 |                       pandas._libs.tslibs.tzconversion
import time:       788 |      14389 |                     pandas._libs.tslibs.timestamps
import time:       291 |        291 |                     pandas._libs.properties
import time:      1147 |      15827 |                   pandas._libs.tslibs.offsets
import time:      1639 |       1639 |                           _string
import time:       639 |       2278 |                         string
import time:       241 |        241 |                         dateutil._common
import time:      1034 |       3552 |                       dateutil.parser._parser
import time:       352 |        352 |                       dateutil.parser.isoparser
import time:       318 |       4221 |                     dateutil.parser
import time:       817 |        817 |                     pandas._libs.tslibs.strptime
import time:       560 |       5597 |                   pandas._libs.tslibs.parsing
import time:       538 |      22234 |                 pandas._libs.tslibs.conversion
import time:       608 |        608 |                 pandas._libs.tslibs.period
import time:       421 |        421 |                 pandas._libs.tslibs.vectorized
import time:       323 |      25358 |               pandas._libs.tslibs
import time:        25 |      25382 |             pandas._libs.tslibs.nattype
import time:       292 |        292 |             pandas._libs.ops_dispatch
import time:       535 |      26209 |           pandas._libs.missing
import time:      1053 |      27262 |         pandas._libs.hashtable
import time:       948 |        948 |         pandas._libs.algos
import time:       658 |      28867 |       pandas._libs.interval
import time:       273 |      29837 |     pandas._libs
import time:       262 |        262 |       pandas.core.dtypes
import time:       183 |        183 |         pyarrow
import time:       850 |       1032 |       pandas._libs.lib
import time:       546 |        546 |       pandas.errors
import time:       487 |        487 |         pandas.core.dtypes.generic
import time:       336 |        823 |       pandas.core.dtypes.base
import time:       253 |        253 |       pandas.core.dtypes.inference
import time:      1075 |       3989 |     pandas.core.dtypes.dtypes
import time:       346 |        346 |       pandas.core.dtypes.common
import time:       330 |        675 |     pandas.core.dtypes.missing
import time:       296 |        296 |       pandas.util._decorators
import time:       252 |        252 |           pandas.io
import time:       354 |        606 |         pandas.io._util
import time:       450 |       1055 |       pandas.core.dtypes.cast
import time:       246 |        246 |         pandas.core.dtypes.astype
import time:       250 |        496 |       pandas.core.dtypes.concat
import time:       238 |        238 |         pandas.core.array_algos
import time:      2208 |       2208 |             numpy.ma.core
import time:       775 |        775 |             numpy.ma.extras
import time:       291 |       3273 |           numpy.ma
import time:       332 |        332 |           pandas.core.common
import time:       309 |       3914 |         pandas.core.construction
import time:       411 |       4562 |       pandas.core.array_algos.take
import time:       348 |        348 |         pandas.core.indexers.utils
import time:       250 |        598 |       pandas.core.indexers
import time:       500 |       7506 |     pandas.core.algorithms
import time:       406 |        406 |         pandas.core.arrays.arrow.accessors
import time:       269 |        269 |           pandas.util._validators
import time:       362 |        362 |           pandas.core.missing
import time:       426 |        426 |               pandas._libs.ops
import time:       240 |        240 |               pandas.core.roperator
import time:       246 |        246 |               pandas.core.computation
import time:       392 |        392 |                 pandas.core.computation.check
import time:       377 |        769 |               pandas.core.computation.expressions
import time:       214 |        214 |               pandas.core.ops.missing
import time:       294 |        294 |               pandas.core.ops.dispatch
import time:       265 |        265 |               pandas.core.ops.invalid
import time:       459 |       2910 |             pandas.core.ops.array_ops
import time:       270 |        270 |             pandas.core.ops.common
import time:       276 |        276 |             pandas.core.ops.docstrings
import time:       223 |        223 |             pandas.core.ops.mask_ops
import time:       283 |       3959 |           pandas.core.ops
import time:       355 |        355 |           pandas.core.arraylike
import time:       348 |        348 |           pandas.core.arrays._arrow_string_mixins
import time:       234 |        234 |           pandas.core.arrays._utils
import time:       388 |        388 |             pandas.compat.numpy.function
import time:       236 |        236 |             pandas.core.array_algos.quantile
import time:       305 |        305 |             pandas.core.sorting
import time:       698 |       1626 |           pandas.core.arrays.base
import time:       800 |        800 |             pandas.core.nanops
