VP,Broj,Datum,Opis,Artikal,Kolicina,Nabavna vrednost,Prodajna vrednost,Prodajna cena,U skladiste,ID prometa u zalihama,Marza,SKU
P S,5,2025-10-27,FS250629C,Blowdry crna(BD-1B),100,123311.33,529000,4408.33,Skladište Slanje Paketa,22025510,405688.67,BD-1B
P S,5,2025-10-27,FS250629C,Blowdry najtamnija smeda(BD-2),50,61655.67,264500,4408.33,Skladište Slanje Paketa,22025510,202844.33000000002,BD-2
P S,5,2025-10-27,FS250629C,Blowdry tamno smeda(BD-4),70,86317.93,370300,4408.33,Skladište Slanje Paketa,22025510,283982.07,BD-4
P S,5,2025-10-27,FS250629C,Blowdry smeda(BD-6),70,86317.93,370300,4408.33,Skladište Slanje Paketa,22025510,283982.07,BD-6
P S,5,2025-10-27,FS250629C,Blowdry svetlo smeda s pramenovima(BD-SMEDPR),80,98649.07,423200,4408.33,Skladište Slanje Paketa,22025510,324550.93,BD-SMEDPR
P S,5,2025-10-27,FS250629C,Blowdry tamno plava(BD-K16),50,61655.67,264500,4408.33,Skladište Slanje Paketa,22025510,202844.33000000002,BD-K16
P S,5,2025-10-27,FS250629C,Blowdry svetlo plava(BD-613),50,61655.67,264500,4408.33,Skladište Slanje Paketa,22025510,202844.33000000002,BD-613
P S,5,2025-10-27,FS250629C,Blowdry srednje plava(BD-SRP),70,86317.93,370300,4408.33,Skladište Slanje Paketa,22025510,283982.07,BD-SRP
P S,5,2025-10-27,FS250629C,Blowdry platina(BD-PLAT),50,61655.67,264500,4408.33,Skladište Slanje Paketa,22025510,202844.33000000002,BD-PLAT
P S,5,2025-10-27,FS250629C,Blowdry svetlo smeda(BD-10),50,61655.67,264500,4408.33,Skladište Slanje Paketa,22025510,202844.33000000002,BD-10
P S,4,2025-08-13,FS250428C,Rep bronza ravni(RR-BRO),15,12975.53,66750,3708.33,Skladište Slanje Paketa,20757676,53774.47,RR-BRO
P S,4,2025-08-13,FS250428C,Rep bronza afro(AF-BRO),15,14971.76,66750,3708.33,Skladište Slanje Paketa,20757676,51778.24,AF-BRO
P S,4,2025-08-13,FS250428C,Arijana smedi ombre(AR-SMO),40,31939.76,159600,3325.0,Skladište Slanje Paketa,20757676,127660.24,AR-SMO
P S,4,2025-08-13,FS250428C,Ekstenzije smeda OPK(EKSOPK-6),50,53232.93,237500,3958.33,Skladište Slanje Paketa,20757676,184267.07,EKSOPK-6
P S,4,2025-08-13,FS250428C,Ekstenzije tamno smeda OPK(EKSOPK-4),50,53232.93,237500,3958.33,Skladište Slanje Paketa,20757676,184267.07,EKSOPK-4
P S,4,2025-08-13,FS250428C,Ekstenzije tamno plava OPK(EKSOPK-K16),40,42586.35,190000,3958.33,Skladište Slanje Paketa,20757676,147413.65,EKSOPK-K16
P S,4,2025-08-13,FS250428C,Ekstenzije srednje plava OPK(EKSOPK-SRP),40,42586.35,190000,3958.33,Skladište Slanje Paketa,20757676,147413.65,EKSOPK-SRP
P S,4,2025-08-13,FS250428C,Ekstenzije svetlo plava(EKS-613),50,46578.82,222500,3708.33,Skladište Slanje Paketa,20757676,175921.18,EKS-613
P S,4,2025-08-13,FS250428C,Ariana najtamnija smeda(AR-2),70,55894.58,279300,3325.0,Skladište Slanje Paketa,20757676,223405.41999999998,AR-2
P S,4,2025-08-13,FS250428C,Ariana tamno smedi(AR-4),80,63879.52,319200,3325.0,Skladište Slanje Paketa,20757676,255320.48,AR-4
P S,4,2025-08-13,FS250428C,Ariana tamno plavi(AR-K16),100,79849.4,399000,3325.0,Skladište Slanje Paketa,20757676,319150.6,AR-K16
P S,4,2025-08-13,FS250428C,Ariana platinum ombre(AR-PLO),50,39924.7,199500,3325.0,Skladište Slanje Paketa,20757676,159575.3,AR-PLO
P S,4,2025-08-13,FS250428C,Ariana crni(AR-1B),100,79849.4,399000,3325.0,Skladište Slanje Paketa,20757676,319150.6,AR-1B
P S,4,2025-08-13,FS250428C,Kratki srednje plavi(KRR-SRP),30,23954.82,119700,3325.0,Skladište Slanje Paketa,20757676,95745.18,KRR-SRP
P S,4,2025-08-13,FS250428C,OPK-SMEDPR(OPK-SMEDPR),50,49905.87,222500,3708.33,Skladište Slanje Paketa,20757676,172594.13,OPK-SMEDPR
P S,4,2025-08-13,FS250428C,OPK platinum ombre(OPK-PLO),30,29943.52,133500,3708.33,Skladište Slanje Paketa,20757676,103556.48,OPK-PLO
P S,4,2025-08-13,FS250428C,U najtamnija smeda(U-2),80,95819.28,423200,4408.33,Skladište Slanje Paketa,20757676,327380.72,U-2
P S,4,2025-08-13,FS250428C,U mahagoni(U-MHG),50,59887.05,264500,4408.33,Skladište Slanje Paketa,20757676,204612.95,U-MHG
P S,4,2025-08-13,FS250428C,Ekstenzije crna OPK(EKSOPK-1B),50,53232.93,237500,3958.33,Skladište Slanje Paketa,20757676,184267.07,EKSOPK-1B
P S,4,2025-08-13,FS250428C,Ariana smede plavi(AR-SMPLV),20,15969.88,79800,3325.0,Skladište Slanje Paketa,20757676,63830.12,AR-SMPLV
P S,4,2025-08-13,FS250428C,Ekstenzije platina OPK(EKSOPK-PLAT),50,53232.93,237500,3958.33,Skladište Slanje Paketa,20757676,184267.07,EKSOPK-PLAT
P S,4,2025-08-13,FS250428C,Ekstenzije svetlo smeda s pramenovima OPK(EKSOPK-SMEDPR),50,53232.93,237500,3958.33,Skladište Slanje Paketa,20757676,184267.07,EKSOPK-SMEDPR
P S,4,2025-08-13,FS250428C,Ekstenzije svetlo plava OPK(EKSOPK-613),50,53232.93,237500,3958.33,Skladište Slanje Paketa,20757676,184267.07,EKSOPK-613
P S,4,2025-08-13,FS250428C,Ekstenzije platina (EKS-PLAT),50,46578.82,222500,3708.33,Skladište Slanje Paketa,20757676,175921.18,EKS-PLAT
P S,4,2025-08-13,FS250428C,Rep cimet smeda(RR-8),50,43251.76,222500,3708.33,Skladište Slanje Paketa,20757676,179248.24,RR-8
P S,4,2025-08-13,FS250428C,Rep sv. smedi s pram. afro(AF-SMEDPR),70,69868.22,311500,3708.33,Skladište Slanje Paketa,20757676,241631.78,AF-SMEDPR
P S,4,2025-08-13,FS250428C,Arijana srednje plavi(AR-SRP),50,39924.7,199500,3325.0,Skladište Slanje Paketa,20757676,159575.3,AR-SRP
P S,4,2025-08-13,FS250428C,Arijana smedi(AR-6),50,39924.7,199500,3325.0,Skladište Slanje Paketa,20757676,159575.3,AR-6
P S,4,2025-08-13,FS250428C,Rep kratki svetlo smedi(KRR-10),50,39924.7,199500,3325.0,Skladište Slanje Paketa,20757676,159575.3,KRR-10
P S,4,2025-08-13,FS250428C,Rep kratki platina(KRR-PLAT),50,39924.7,199500,3325.0,Skladište Slanje Paketa,20757676,159575.3,KRR-PLAT
P S,4,2025-08-13,FS250428C,Rep platinum ombre ravni(RR-PLO),30,25951.05,133500,3708.33,Skladište Slanje Paketa,20757676,107548.95,RR-PLO
P S,4,2025-08-13,FS250428C,Rep sivo plavi ravni(RR-SIVPL),15,12975.53,66750,3708.33,Skladište Slanje Paketa,20757676,53774.47,RR-SIVPL
P S,4,2025-08-13,FS250428C,TRK-K16 - Rep tamno plavi trakica(TRK-K16),15,11977.41,66750,3708.33,Skladište Slanje Paketa,20757676,54772.59,TRK-K16
P S,4,2025-08-13,FS250428C,AF-6 - Rep smeda afro(AF-6),60,59887.05,267000,3708.33,Skladište Slanje Paketa,20757676,207112.95,AF-6
P S,4,2025-08-13,FS250428C,AF-4 - Rep tamno smeda afro(AF-4),70,69868.22,311500,3708.33,Skladište Slanje Paketa,20757676,241631.78,AF-4
P S,4,2025-08-13,FS250428C,RR-4 - Rep tamno smedi ravni(RR-4),60,51902.11,267000,3708.33,Skladište Slanje Paketa,20757676,215097.89,RR-4
P S,4,2025-08-13,FS250428C,AF-1 - Rep crni afro(AF-1),100,99811.75,445000,3708.33,Skladište Slanje Paketa,20757676,345188.25,AF-1
P S,4,2025-08-13,FS250428C,RR-1B - Rep crni ravni(RR-1B),80,69202.81,356000,3708.33,Skladište Slanje Paketa,20757676,286797.19,RR-1B
P S,4,2025-08-13,FS250428C,RR-613 - Rep svetlo plava ravna(RR-613),40,34601.41,178000,3708.33,Skladište Slanje Paketa,20757676,143398.59,RR-613
P S,4,2025-08-13,FS250428C,EKS-K16 - Ekstenzije tamno plava ravna(EKS-K16),10,9315.76,44500,3708.33,Skladište Slanje Paketa,20757676,35184.24,EKS-K16
