SKU,Total prodato,Prvi datum,Zadnji datum,Ukupno dana,Dani bez zalihe,Dani dostupno,Prosek dnevno,Ukupno neto,Prosek neto,Procjena gubitka neto,Procena izgubljeno
EKS-SRP,101,2024-10-23,2026-01-14,449,0,449,0.2249,441169.93,982.5611,0.0,0.0
EKS-SSP,66,2024-06-28,2025-10-17,477,22,455,0.1451,266824.75,586.428,12901.42,3.1912
EKSOPK-1B,50,2025-08-21,2025-12-20,122,5,117,0.4274,235180.0,2010.0855,10050.43,2.1368
EKSOPK-4,53,2025-08-25,2025-12-23,121,2,119,0.4454,243841.0,2049.084,4098.17,0.8908
EKSOPK-6,45,2025-08-21,2026-01-12,145,0,145,0.3103,201955.0,1392.7931,0.0,0.0
EKSOPK-613,30,2025-08-25,2025-12-26,124,0,124,0.2419,133733.0,1078.4919,0.0,0.0
EKSOPK-K16,27,2025-08-26,2025-12-25,122,0,122,0.2213,123200.0,1009.8361,0.0,0.0
EKSOPK-PLAT,28,2025-08-22,2026-01-08,140,0,140,0.2,120915.0,863.6786,0.0,0.0
EKSOPK-SMEDPR,52,2025-08-27,2025-11-07,73,4,69,0.7536,246677.0,3575.029,14300.12,3.0145
EKSOPK-SRP,44,2025-09-03,2025-12-13,102,11,91,0.4835,207357.01,2278.6485,25065.13,5.3187
KRO-1B,137,2024-11-14,2025-12-09,391,0,391,0.3504,537200.88,1373.9153,0.0,0.0
KRO-2,93,2024-10-25,2025-12-29,431,0,431,0.2158,360846.6,837.2311,0.0,0.0
KRO-4,104,2024-11-01,2026-01-09,435,0,435,0.2391,389220.61,894.76,0.0,0.0
KRO-6,92,2024-11-04,2026-01-09,432,0,432,0.213,353388.76,818.0295,0.0,0.0
KRO-613,99,2024-10-23,2026-01-14,449,0,449,0.2205,376843.3,839.2947,0.0,0.0
KRO-MHG,32,2024-11-27,2026-01-08,408,0,408,0.0784,126951.98,311.1568,0.0,0.0
KRO-PP,86,2024-11-14,2026-01-15,428,0,428,0.2009,314067.9,733.8035,0.0,0.0
KRO-SMO,100,2024-11-12,2026-01-08,423,0,423,0.2364,375743.86,888.2834,0.0,0.0
KRO-SMPLV,150,2024-11-06,2026-01-15,436,0,436,0.344,561907.78,1288.7793,0.0,0.0
KRO-k16,122,2024-10-29,2026-01-12,441,0,441,0.2766,456877.22,1036.0028,0.0,0.0
KRR-10,24,2025-08-25,2025-12-29,127,0,127,0.189,94771.0,746.2283,0.0,0.0
